image_path,split
Adrenal Gland/fold1_00001540.png,train
Adrenal Gland/fold1_00001541.png,train
Adrenal Gland/fold1_00001543.png,train
Adrenal Gland/fold1_00001544.png,train
Adrenal Gland/fold1_00001545.png,train
Adrenal Gland/fold1_00001546.png,train
Adrenal Gland/fold1_00001547.png,train
Adrenal Gland/fold1_00001548.png,train
Adrenal Gland/fold1_00001549.png,train
Adrenal Gland/fold1_00001550.png,train
Adrenal Gland/fold1_00001552.png,train
Adrenal Gland/fold1_00001554.png,train
Adrenal Gland/fold1_00001555.png,train
Adrenal Gland/fold1_00001556.png,train
Adrenal Gland/fold1_00001558.png,train
Adrenal Gland/fold1_00001559.png,train
Adrenal Gland/fold1_00001560.png,train
Adrenal Gland/fold1_00001561.png,train
Adrenal Gland/fold1_00001562.png,train
Adrenal Gland/fold1_00001563.png,train
Adrenal Gland/fold1_00001564.png,train
Adrenal Gland/fold1_00001565.png,train
Adrenal Gland/fold1_00001566.png,train
Adrenal Gland/fold1_00001567.png,train
Adrenal Gland/fold1_00001568.png,train
Adrenal Gland/fold1_00001569.png,train
Adrenal Gland/fold1_00001570.png,train
Adrenal Gland/fold1_00001571.png,train
Adrenal Gland/fold1_00001572.png,train
Adrenal Gland/fold1_00001573.png,train
Adrenal Gland/fold1_00001574.png,train
Adrenal Gland/fold2_00001031.png,train
Adrenal Gland/fold2_00001033.png,train
Adrenal Gland/fold2_00001034.png,train
Adrenal Gland/fold2_00001035.png,train
Adrenal Gland/fold2_00001036.png,train
Adrenal Gland/fold2_00001037.png,train
Adrenal Gland/fold2_00001038.png,train
Adrenal Gland/fold2_00001040.png,train
Adrenal Gland/fold2_00001041.png,train
Adrenal Gland/fold2_00001042.png,train
Adrenal Gland/fold2_00001043.png,train
Adrenal Gland/fold2_00001044.png,train
Adrenal Gland/fold2_00001045.png,train
Adrenal Gland/fold2_00001046.png,train
Adrenal Gland/fold2_00001048.png,train
Adrenal Gland/fold2_00001049.png,train
Adrenal Gland/fold2_00001050.png,train
Adrenal Gland/fold2_00001051.png,train
Adrenal Gland/fold2_00001052.png,train
Adrenal Gland/fold2_00001053.png,train
Adrenal Gland/fold2_00001054.png,train
Adrenal Gland/fold2_00001055.png,train
Adrenal Gland/fold2_00001056.png,train
Adrenal Gland/fold2_00001057.png,train
Adrenal Gland/fold2_00001058.png,train
Adrenal Gland/fold2_00001059.png,train
Adrenal Gland/fold2_00001060.png,train
Adrenal Gland/fold2_00001061.png,train
Adrenal Gland/fold2_00001062.png,train
Adrenal Gland/fold2_00001063.png,train
Adrenal Gland/fold2_00001064.png,train
Adrenal Gland/fold2_00001065.png,train
Adrenal Gland/fold2_00001066.png,train
Adrenal Gland/fold2_00001067.png,train
Adrenal Gland/fold2_00001068.png,train
Adrenal Gland/fold2_00001070.png,train
Adrenal Gland/fold2_00001072.png,train
Adrenal Gland/fold2_00001074.png,train
Adrenal Gland/fold2_00001108.png,train
Adrenal Gland/fold2_00001109.png,train
Adrenal Gland/fold2_00001110.png,train
Adrenal Gland/fold2_00001111.png,train
Adrenal Gland/fold2_00001112.png,train
Adrenal Gland/fold2_00001114.png,train
Adrenal Gland/fold2_00001116.png,train
Adrenal Gland/fold2_00001117.png,train
Adrenal Gland/fold2_00001118.png,train
Adrenal Gland/fold2_00001119.png,train
Adrenal Gland/fold2_00001120.png,train
Adrenal Gland/fold2_00001121.png,train
Adrenal Gland/fold2_00001122.png,train
Adrenal Gland/fold2_00001151.png,train
Adrenal Gland/fold2_00001152.png,train
Adrenal Gland/fold2_00001153.png,train
Adrenal Gland/fold2_00001154.png,train
Adrenal Gland/fold2_00001155.png,train
Adrenal Gland/fold2_00001156.png,train
Adrenal Gland/fold2_00001157.png,train
Adrenal Gland/fold2_00001158.png,train
Adrenal Gland/fold2_00001159.png,train
Adrenal Gland/fold2_00001160.png,train
Adrenal Gland/fold2_00001161.png,train
Adrenal Gland/fold2_00001162.png,train
Adrenal Gland/fold2_00001163.png,train
Adrenal Gland/fold2_00001164.png,train
Adrenal Gland/fold2_00001165.png,train
Adrenal Gland/fold2_00001166.png,train
Adrenal Gland/fold2_00001167.png,train
Adrenal Gland/fold2_00001168.png,train
Adrenal Gland/fold2_00001169.png,train
Adrenal Gland/fold2_00001332.png,train
Adrenal Gland/fold2_00001334.png,train
Adrenal Gland/fold2_00001335.png,train
Adrenal Gland/fold2_00001336.png,train
Adrenal Gland/fold2_00001337.png,train
Adrenal Gland/fold2_00001338.png,train
Adrenal Gland/fold2_00001339.png,train
Adrenal Gland/fold2_00001340.png,train
Adrenal Gland/fold2_00001341.png,train
Adrenal Gland/fold2_00001342.png,train
Adrenal Gland/fold2_00001343.png,train
Adrenal Gland/fold2_00001344.png,train
Adrenal Gland/fold2_00001345.png,train
Adrenal Gland/fold2_00001347.png,train
Adrenal Gland/fold2_00001348.png,train
Adrenal Gland/fold2_00001349.png,train
Adrenal Gland/fold2_00001350.png,train
Adrenal Gland/fold2_00001351.png,train
Adrenal Gland/fold2_00001353.png,train
Adrenal Gland/fold2_00001354.png,train
Adrenal Gland/fold2_00001355.png,train
Adrenal Gland/fold2_00001356.png,train
Adrenal Gland/fold2_00001357.png,train
Adrenal Gland/fold2_00001358.png,train
Adrenal Gland/fold2_00001359.png,train
Adrenal Gland/fold2_00001360.png,train
Adrenal Gland/fold2_00001361.png,train
Adrenal Gland/fold2_00001362.png,train
Adrenal Gland/fold2_00001363.png,train
Adrenal Gland/fold2_00001364.png,train
Adrenal Gland/fold2_00001365.png,train
Adrenal Gland/fold2_00001366.png,train
Adrenal Gland/fold2_00001367.png,train
Adrenal Gland/fold2_00001368.png,train
Adrenal Gland/fold2_00001369.png,train
Adrenal Gland/fold2_00001370.png,train
Adrenal Gland/fold2_00001371.png,train
Adrenal Gland/fold2_00001372.png,train
Adrenal Gland/fold2_00001373.png,train
Adrenal Gland/fold2_00001374.png,train
Adrenal Gland/fold2_00001375.png,train
Adrenal Gland/fold2_00001376.png,train
Adrenal Gland/fold2_00001377.png,train
Adrenal Gland/fold2_00001378.png,train
Adrenal Gland/fold2_00001379.png,train
Adrenal Gland/fold2_00001380.png,train
Adrenal Gland/fold2_00001381.png,train
Adrenal Gland/fold2_00001382.png,train
Adrenal Gland/fold2_00001383.png,train
Adrenal Gland/fold2_00001384.png,train
Adrenal Gland/fold2_00001385.png,train
Adrenal Gland/fold2_00001386.png,train
Adrenal Gland/fold2_00001387.png,train
Adrenal Gland/fold2_00001388.png,train
Adrenal Gland/fold2_00001389.png,train
Adrenal Gland/fold2_00001390.png,train
Adrenal Gland/fold2_00001392.png,train
Adrenal Gland/fold2_00001393.png,train
Adrenal Gland/fold2_00001394.png,train
Adrenal Gland/fold2_00001395.png,train
Adrenal Gland/fold2_00001397.png,train
Adrenal Gland/fold2_00001398.png,train
Adrenal Gland/fold3_00001094.png,train
Adrenal Gland/fold3_00001095.png,train
Adrenal Gland/fold3_00001096.png,train
Adrenal Gland/fold3_00001097.png,train
Adrenal Gland/fold3_00001099.png,train
Adrenal Gland/fold3_00001100.png,train
Adrenal Gland/fold3_00001101.png,train
Adrenal Gland/fold3_00001102.png,train
Adrenal Gland/fold3_00001103.png,train
Adrenal Gland/fold3_00001104.png,train
Adrenal Gland/fold3_00001105.png,train
Adrenal Gland/fold3_00001107.png,train
Adrenal Gland/fold3_00001108.png,train
Adrenal Gland/fold3_00001109.png,train
Adrenal Gland/fold3_00001110.png,train
Adrenal Gland/fold3_00001111.png,train
Adrenal Gland/fold3_00001113.png,train
Adrenal Gland/fold3_00001114.png,train
Adrenal Gland/fold3_00001115.png,train
Adrenal Gland/fold3_00001116.png,train
Adrenal Gland/fold3_00001117.png,train
Adrenal Gland/fold3_00001118.png,train
Adrenal Gland/fold3_00001119.png,train
Adrenal Gland/fold3_00001121.png,train
Adrenal Gland/fold3_00001122.png,train
Adrenal Gland/fold3_00001123.png,train
Adrenal Gland/fold3_00001124.png,train
Adrenal Gland/fold3_00001125.png,train
Adrenal Gland/fold3_00001126.png,train
Adrenal Gland/fold3_00001128.png,train
Adrenal Gland/fold3_00001129.png,train
Adrenal Gland/fold3_00001130.png,train
Adrenal Gland/fold3_00001131.png,train
Adrenal Gland/fold3_00001133.png,train
Adrenal Gland/fold3_00001134.png,train
Adrenal Gland/fold3_00001135.png,train
Adrenal Gland/fold3_00001136.png,train
Adrenal Gland/fold3_00001137.png,train
Adrenal Gland/fold3_00001138.png,train
Adrenal Gland/fold3_00001139.png,train
Adrenal Gland/fold3_00001140.png,train
Adrenal Gland/fold3_00001141.png,train
Adrenal Gland/fold3_00001142.png,train
Adrenal Gland/fold3_00001144.png,train
Adrenal Gland/fold3_00001145.png,train
Adrenal Gland/fold3_00001146.png,train
Adrenal Gland/fold3_00001147.png,train
Adrenal Gland/fold3_00001186.png,train
Adrenal Gland/fold3_00001188.png,train
Adrenal Gland/fold3_00001189.png,train
Adrenal Gland/fold3_00001190.png,train
Adrenal Gland/fold3_00001191.png,train
Adrenal Gland/fold3_00001192.png,train
Adrenal Gland/fold3_00001193.png,train
Adrenal Gland/fold3_00001194.png,train
Adrenal Gland/fold3_00001195.png,train
Adrenal Gland/fold3_00001196.png,train
Adrenal Gland/fold3_00001197.png,train
Adrenal Gland/fold3_00001198.png,train
Adrenal Gland/fold3_00001199.png,train
Adrenal Gland/fold3_00001200.png,train
Adrenal Gland/fold3_00001201.png,train
Adrenal Gland/fold3_00001202.png,train
Adrenal Gland/fold3_00001203.png,train
Adrenal Gland/fold3_00001212.png,train
Adrenal Gland/fold3_00001213.png,train
Adrenal Gland/fold3_00001215.png,train
Adrenal Gland/fold3_00001218.png,train
Adrenal Gland/fold3_00001219.png,train
Adrenal Gland/fold3_00001220.png,train
Adrenal Gland/fold3_00001221.png,train
Adrenal Gland/fold3_00001222.png,train
Adrenal Gland/fold3_00001398.png,train
Adrenal Gland/fold3_00001399.png,train
Adrenal Gland/fold3_00001400.png,train
Adrenal Gland/fold3_00001401.png,train
Adrenal Gland/fold3_00001402.png,train
Adrenal Gland/fold3_00001403.png,train
Adrenal Gland/fold3_00001405.png,train
Adrenal Gland/fold3_00001406.png,train
Adrenal Gland/fold3_00001407.png,train
Adrenal Gland/fold3_00001408.png,train
Adrenal Gland/fold3_00001409.png,train
Adrenal Gland/fold3_00001410.png,train
Adrenal Gland/fold3_00001411.png,train
Adrenal Gland/fold3_00001412.png,train
Adrenal Gland/fold3_00001413.png,train
Adrenal Gland/fold3_00001414.png,train
Adrenal Gland/fold3_00001415.png,train
Adrenal Gland/fold3_00001416.png,train
Adrenal Gland/fold3_00001417.png,train
Adrenal Gland/fold3_00001418.png,train
Adrenal Gland/fold3_00001420.png,train
Adrenal Gland/fold3_00001422.png,train
Adrenal Gland/fold3_00001423.png,train
Adrenal Gland/fold3_00001424.png,train
Adrenal Gland/fold3_00001425.png,train
Adrenal Gland/fold3_00001426.png,train
Adrenal Gland/fold3_00001427.png,train
Adrenal Gland/fold3_00001428.png,train
Adrenal Gland/fold3_00001429.png,train
Adrenal Gland/fold3_00001430.png,train
Adrenal Gland/fold3_00001431.png,train
Adrenal Gland/fold3_00001432.png,train
Adrenal Gland/fold3_00001433.png,train
Adrenal Gland/fold3_00001434.png,train
Adrenal Gland/fold3_00001435.png,train
Adrenal Gland/fold3_00001436.png,train
Adrenal Gland/fold3_00001437.png,train
Adrenal Gland/fold3_00001438.png,train
Adrenal Gland/fold3_00001439.png,train
Adrenal Gland/fold3_00001440.png,train
Adrenal Gland/fold3_00001441.png,train
Adrenal Gland/fold3_00001442.png,train
Adrenal Gland/fold3_00001446.png,train
Adrenal Gland/fold3_00001447.png,train
Adrenal Gland/fold3_00001448.png,train
Adrenal Gland/fold3_00001449.png,train
Adrenal Gland/fold3_00001450.png,train
Adrenal Gland/fold3_00001451.png,train
Adrenal Gland/fold3_00001452.png,train
Adrenal Gland/fold3_00001453.png,train
Adrenal Gland/fold3_00001454.png,train
Adrenal Gland/fold3_00001456.png,train
Adrenal Gland/fold3_00001457.png,train
Adrenal Gland/fold3_00001458.png,train
Adrenal Gland/fold3_00001459.png,train
Adrenal Gland/fold3_00001460.png,train
Adrenal Gland/fold3_00001461.png,train
Adrenal Gland/fold3_00001462.png,train
Adrenal Gland/fold3_00001463.png,train
Adrenal Gland/fold3_00001465.png,train
Adrenal Gland/fold3_00001466.png,train
Adrenal Gland/fold3_00001467.png,train
Bile Duct/fold1_00001370.png,train
Bile Duct/fold1_00001371.png,train
Bile Duct/fold1_00001372.png,train
Bile Duct/fold1_00001373.png,train
Bile Duct/fold1_00001374.png,train
Bile Duct/fold1_00001375.png,train
Bile Duct/fold1_00001376.png,train
Bile Duct/fold1_00001377.png,train
Bile Duct/fold1_00001378.png,train
Bile Duct/fold1_00001379.png,train
Bile Duct/fold1_00001380.png,train
Bile Duct/fold1_00001381.png,train
Bile Duct/fold1_00001382.png,train
Bile Duct/fold1_00001383.png,train
Bile Duct/fold1_00001384.png,train
Bile Duct/fold1_00001385.png,train
Bile Duct/fold1_00001387.png,train
Bile Duct/fold1_00001388.png,train
Bile Duct/fold1_00001389.png,train
Bile Duct/fold1_00001390.png,train
Bile Duct/fold1_00001391.png,train
Bile Duct/fold1_00001392.png,train
Bile Duct/fold1_00001393.png,train
Bile Duct/fold1_00001394.png,train
Bile Duct/fold1_00001395.png,train
Bile Duct/fold1_00001396.png,train
Bile Duct/fold1_00001397.png,train
Bile Duct/fold1_00001399.png,train
Bile Duct/fold1_00001400.png,train
Bile Duct/fold1_00001401.png,train
Bile Duct/fold1_00001402.png,train
Bile Duct/fold1_00001404.png,train
Bile Duct/fold1_00001405.png,train
Bile Duct/fold1_00001407.png,train
Bile Duct/fold1_00001408.png,train
Bile Duct/fold1_00001409.png,train
Bile Duct/fold1_00001446.png,train
Bile Duct/fold1_00001447.png,train
Bile Duct/fold1_00001448.png,train
Bile Duct/fold1_00001449.png,train
Bile Duct/fold1_00001450.png,train
Bile Duct/fold1_00001451.png,train
Bile Duct/fold1_00001452.png,train
Bile Duct/fold1_00001453.png,train
Bile Duct/fold1_00001454.png,train
Bile Duct/fold1_00001455.png,train
Bile Duct/fold1_00001457.png,train
Bile Duct/fold1_00001458.png,train
Bile Duct/fold1_00001459.png,train
Bile Duct/fold1_00001460.png,train
Bile Duct/fold1_00001461.png,train
Bile Duct/fold1_00001462.png,train
Bile Duct/fold1_00001463.png,train
Bile Duct/fold1_00001464.png,train
Bile Duct/fold1_00001465.png,train
Bile Duct/fold1_00001466.png,train
Bile Duct/fold1_00001467.png,train
Bile Duct/fold1_00001468.png,train
Bile Duct/fold1_00001469.png,train
Bile Duct/fold1_00001470.png,train
Bile Duct/fold1_00001471.png,train
Bile Duct/fold1_00001472.png,train
Bile Duct/fold1_00001473.png,train
Bile Duct/fold1_00001474.png,train
Bile Duct/fold1_00001475.png,train
Bile Duct/fold1_00001476.png,train
Bile Duct/fold1_00001477.png,train
Bile Duct/fold1_00001575.png,train
Bile Duct/fold1_00001576.png,train
Bile Duct/fold1_00001577.png,train
Bile Duct/fold1_00001578.png,train
Bile Duct/fold1_00001579.png,train
Bile Duct/fold1_00001580.png,train
Bile Duct/fold1_00001581.png,train
Bile Duct/fold1_00001582.png,train
Bile Duct/fold1_00001583.png,train
Bile Duct/fold1_00001585.png,train
Bile Duct/fold1_00001586.png,train
Bile Duct/fold1_00001587.png,train
Bile Duct/fold1_00001589.png,train
Bile Duct/fold1_00001590.png,train
Bile Duct/fold1_00001591.png,train
Bile Duct/fold1_00001592.png,train
Bile Duct/fold1_00001593.png,train
Bile Duct/fold1_00001594.png,train
Bile Duct/fold1_00001595.png,train
Bile Duct/fold1_00001596.png,train
Bile Duct/fold1_00001597.png,train
Bile Duct/fold1_00001598.png,train
Bile Duct/fold1_00001599.png,train
Bile Duct/fold1_00001600.png,train
Bile Duct/fold1_00001601.png,train
Bile Duct/fold1_00001602.png,train
Bile Duct/fold1_00001603.png,train
Bile Duct/fold1_00001604.png,train
Bile Duct/fold1_00001605.png,train
Bile Duct/fold1_00001606.png,train
Bile Duct/fold1_00001607.png,train
Bile Duct/fold1_00001610.png,train
Bile Duct/fold1_00001611.png,train
Bile Duct/fold1_00001612.png,train
Bile Duct/fold1_00001614.png,train
Bile Duct/fold1_00001615.png,train
Bile Duct/fold1_00001616.png,train
Bile Duct/fold1_00001617.png,train
Bile Duct/fold1_00001619.png,train
Bile Duct/fold1_00001621.png,train
Bile Duct/fold1_00001622.png,train
Bile Duct/fold1_00001623.png,train
Bile Duct/fold1_00001624.png,train
Bile Duct/fold1_00001625.png,train
Bile Duct/fold1_00001627.png,train
Bile Duct/fold1_00001628.png,train
Bile Duct/fold1_00001629.png,train
Bile Duct/fold1_00001630.png,train
Bile Duct/fold1_00001631.png,train
Bile Duct/fold1_00001632.png,train
Bile Duct/fold1_00001633.png,train
Bile Duct/fold1_00001634.png,train
Bile Duct/fold1_00001635.png,train
Bile Duct/fold1_00001636.png,train
Bile Duct/fold1_00001640.png,train
Bile Duct/fold1_00001641.png,train
Bile Duct/fold1_00001642.png,train
Bile Duct/fold1_00001644.png,train
Bile Duct/fold1_00001645.png,train
Bile Duct/fold1_00001646.png,train
Bile Duct/fold1_00001647.png,train
Bile Duct/fold1_00001648.png,train
Bile Duct/fold1_00001650.png,train
Bile Duct/fold1_00001651.png,train
Bile Duct/fold1_00001652.png,train
Bile Duct/fold1_00001653.png,train
Bile Duct/fold1_00001654.png,train
Bile Duct/fold1_00001655.png,train
Bile Duct/fold1_00001656.png,train
Bile Duct/fold1_00001657.png,train
Bile Duct/fold1_00001658.png,train
Bile Duct/fold1_00001659.png,train
Bile Duct/fold2_00001194.png,train
Bile Duct/fold2_00001195.png,train
Bile Duct/fold2_00001197.png,train
Bile Duct/fold2_00001198.png,train
Bile Duct/fold2_00001199.png,train
Bile Duct/fold2_00001200.png,train
Bile Duct/fold2_00001202.png,train
Bile Duct/fold2_00001203.png,train
Bile Duct/fold2_00001204.png,train
Bile Duct/fold2_00001205.png,train
Bile Duct/fold2_00001206.png,train
Bile Duct/fold2_00001207.png,train
Bile Duct/fold2_00001208.png,train
Bile Duct/fold2_00001209.png,train
Bile Duct/fold2_00001210.png,train
Bile Duct/fold2_00001211.png,train
Bile Duct/fold2_00001212.png,train
Bile Duct/fold2_00001265.png,train
Bile Duct/fold2_00001266.png,train
Bile Duct/fold2_00001267.png,train
Bile Duct/fold2_00001269.png,train
Bile Duct/fold2_00001270.png,train
Bile Duct/fold2_00001271.png,train
Bile Duct/fold2_00001272.png,train
Bile Duct/fold2_00001274.png,train
Bile Duct/fold2_00001275.png,train
Bile Duct/fold2_00001277.png,train
Bile Duct/fold2_00001278.png,train
Bile Duct/fold2_00001279.png,train
Bile Duct/fold2_00001280.png,train
Bile Duct/fold2_00001282.png,train
Bile Duct/fold2_00001283.png,train
Bile Duct/fold2_00001284.png,train
Bile Duct/fold2_00001285.png,train
Bile Duct/fold2_00001286.png,train
Bile Duct/fold2_00001287.png,train
Bile Duct/fold2_00001288.png,train
Bile Duct/fold2_00001290.png,train
Bile Duct/fold2_00001291.png,train
Bile Duct/fold2_00001293.png,train
Bile Duct/fold2_00001294.png,train
Bile Duct/fold2_00001399.png,train
Bile Duct/fold2_00001400.png,train
Bile Duct/fold2_00001401.png,train
Bile Duct/fold2_00001402.png,train
Bile Duct/fold2_00001403.png,train
Bile Duct/fold2_00001404.png,train
Bile Duct/fold2_00001405.png,train
Bile Duct/fold2_00001406.png,train
Bile Duct/fold2_00001407.png,train
Bile Duct/fold2_00001408.png,train
Bile Duct/fold2_00001409.png,train
Bile Duct/fold2_00001410.png,train
Bile Duct/fold2_00001411.png,train
Bile Duct/fold2_00001412.png,train
Bile Duct/fold2_00001413.png,train
Bile Duct/fold2_00001414.png,train
Bile Duct/fold2_00001415.png,train
Bile Duct/fold2_00001416.png,train
Bile Duct/fold2_00001417.png,train
Bile Duct/fold2_00001418.png,train
Bile Duct/fold2_00001419.png,train
Bile Duct/fold2_00001420.png,train
Bile Duct/fold2_00001421.png,train
Bile Duct/fold2_00001422.png,train
Bile Duct/fold2_00001424.png,train
Bile Duct/fold2_00001426.png,train
Bile Duct/fold2_00001428.png,train
Bile Duct/fold2_00001429.png,train
Bile Duct/fold2_00001430.png,train
Bile Duct/fold2_00001431.png,train
Bile Duct/fold2_00001432.png,train
Bile Duct/fold2_00001433.png,train
Bile Duct/fold2_00001434.png,train
Bile Duct/fold2_00001435.png,train
Bile Duct/fold2_00001436.png,train
Bile Duct/fold2_00001437.png,train
Bile Duct/fold2_00001438.png,train
Bile Duct/fold2_00001439.png,train
Bile Duct/fold2_00001440.png,train
Bile Duct/fold2_00001441.png,train
Bile Duct/fold2_00001442.png,train
Bile Duct/fold2_00001443.png,train
Bile Duct/fold2_00001444.png,train
Bile Duct/fold2_00001445.png,train
Bile Duct/fold2_00001447.png,train
Bile Duct/fold2_00001448.png,train
Bile Duct/fold2_00001449.png,train
Bile Duct/fold2_00001450.png,train
Bile Duct/fold2_00001451.png,train
Bile Duct/fold2_00001452.png,train
Bile Duct/fold3_00001248.png,train
Bile Duct/fold3_00001249.png,train
Bile Duct/fold3_00001250.png,train
Bile Duct/fold3_00001251.png,train
Bile Duct/fold3_00001252.png,train
Bile Duct/fold3_00001253.png,train
Bile Duct/fold3_00001254.png,train
Bile Duct/fold3_00001255.png,train
Bile Duct/fold3_00001256.png,train
Bile Duct/fold3_00001257.png,train
Bile Duct/fold3_00001258.png,train
Bile Duct/fold3_00001260.png,train
Bile Duct/fold3_00001261.png,train
Bile Duct/fold3_00001262.png,train
Bile Duct/fold3_00001263.png,train
Bile Duct/fold3_00001264.png,train
Bile Duct/fold3_00001265.png,train
Bile Duct/fold3_00001266.png,train
Bile Duct/fold3_00001267.png,train
Bile Duct/fold3_00001268.png,train
Bile Duct/fold3_00001269.png,train
Bile Duct/fold3_00001270.png,train
Bile Duct/fold3_00001272.png,train
Bile Duct/fold3_00001273.png,train
Bile Duct/fold3_00001274.png,train
Bile Duct/fold3_00001275.png,train
Bile Duct/fold3_00001277.png,train
Bile Duct/fold3_00001278.png,train
Bile Duct/fold3_00001279.png,train
Bile Duct/fold3_00001280.png,train
Bile Duct/fold3_00001281.png,train
Bile Duct/fold3_00001282.png,train
Bile Duct/fold3_00001283.png,train
Bile Duct/fold3_00001284.png,train
Bile Duct/fold3_00001285.png,train
Bile Duct/fold3_00001315.png,train
Bile Duct/fold3_00001316.png,train
Bile Duct/fold3_00001317.png,train
Bile Duct/fold3_00001318.png,train
Bile Duct/fold3_00001319.png,train
Bile Duct/fold3_00001320.png,train
Bile Duct/fold3_00001321.png,train
Bile Duct/fold3_00001322.png,train
Bile Duct/fold3_00001323.png,train
Bile Duct/fold3_00001324.png,train
Bile Duct/fold3_00001325.png,train
Bile Duct/fold3_00001327.png,train
Bile Duct/fold3_00001328.png,train
Bile Duct/fold3_00001329.png,train
Bile Duct/fold3_00001330.png,train
Bile Duct/fold3_00001331.png,train
Bile Duct/fold3_00001332.png,train
Bile Duct/fold3_00001333.png,train
Bile Duct/fold3_00001334.png,train
Bile Duct/fold3_00001335.png,train
Bile Duct/fold3_00001336.png,train
Bile Duct/fold3_00001337.png,train
Bile Duct/fold3_00001338.png,train
Bile Duct/fold3_00001339.png,train
Bile Duct/fold3_00001341.png,train
Bile Duct/fold3_00001343.png,train
Bile Duct/fold3_00001345.png,train
Bile Duct/fold3_00001347.png,train
Bile Duct/fold3_00001348.png,train
Bile Duct/fold3_00001349.png,train
Bile Duct/fold3_00001469.png,train
Bile Duct/fold3_00001470.png,train
Bile Duct/fold3_00001471.png,train
Bile Duct/fold3_00001472.png,train
Bile Duct/fold3_00001473.png,train
Bile Duct/fold3_00001474.png,train
Bile Duct/fold3_00001475.png,train
Bile Duct/fold3_00001477.png,train
Bile Duct/fold3_00001478.png,train
Bile Duct/fold3_00001479.png,train
Bile Duct/fold3_00001480.png,train
Bile Duct/fold3_00001481.png,train
Bile Duct/fold3_00001484.png,train
Bile Duct/fold3_00001486.png,train
Bile Duct/fold3_00001487.png,train
Bile Duct/fold3_00001488.png,train
